ID,Title,Content
1983,"Terranova <br/> Antioxidant Nutrient Complex","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns"">

MAGNIFOOD COMPLEX 900mg
PROVIDING:
Stabilized Rice Bran 450mg
Green Barley Grass [Hordeum vulgare] (fresh freeze dried – ORGANIC) 100mg
Sea Buckthorn Berry [Hippophae rhamnoides] (fresh freeze dried) 50mg
Turmeric Root [Curcuma longa] (fresh freeze dried – ORGANIC) 50mg
Acai Berry [Euterpe oleracea] (fresh freeze dried – ORGANIC) 50mg
Green Tea Leaf [Camellia sinensis] 50mg
Blackberry [Rubus fruticosus] (fresh freeze dried – ORGANIC) 50mg
Watercress [Nasturtium officinale] (fresh freeze dried) 25mg
Pomegranate Arils [Punica granatum] (fresh freeze dried – ORGANIC) 25mg
Kale [Brassica oleracea var acephala] (fresh freeze dried – ORGANIC) 25mg
Cranberry [Vaccinium macrocarpon] (fresh freeze dried – ORGANIC) 25mg

Vitamin C (as Ca, Mg, Zn ascorbate) 250mg
Vitamin E (d-alpha tocopheryl succinate 100iu) 67mg
L-Glutathione 20mg
Larch Tree Arabinogalactan [Larix laricina] 5.5mg
Zinc (as ascorbate) 5mg
Natural Beta Carotene/Mixed Carotenoids 2.5mg
Manganese (as bisglycinate chelate* TRAACS&#x2122;) 1.5mg
Copper (as gluconate) 0.625mg
Selenium (as selenomethionine) 50ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>* TRAACS&#x2122; is a trademark of trademarks of Albion Labs</strong>

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS
SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains barley grass – consult physician if coeliac.</strong>

</div>"
1986,"Terranova <br/> Cranberry 300mg (Fresh Freeze Dried, Organic)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">Cranberry Fruit [Vaccinium macrocarpon] – fresh freeze dried – ORGANIC 300mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
</div>
</div>"
1988,"Terranova <br/> Beetroot Juice, Cordyceps & Reishi Super-Blend Powder 70g size (Fresh Freeze Dried)","1 TEASPOON (APPROX. 5g) TYPICALLY PROVIDES:
<div class=""two-columns"">

<strong>PHYTOFRESH COMPLEX 5g</strong>
PROVIDING:
Beetroot Juice-fresh freeze dried 4,000mg
Cordyceps-freeze dried-ORGANIC [Full-spectrum: providing all fungal components & extracellular compounds] 500mg
Reishi Mushroom-freeze dried-ORGANIC [Full-spectrum: providing all fungal components & extracellular compounds] 300mg
<strong>Wheat</strong> Grass Juice-fresh freeze dried-ORGANIC 125mg
Ginger Rhizome/Root-fresh freeze dried-ORGANIC 50mg
Cayenne Fruit ORGANIC 25mg

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS
SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains wheatgrass – consult physician if coeliac.</strong>

</div>"
1990,"Terranova<br/> CoQ10 30mg Complex","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">

<strong>MAGNIFOOD COMPLEX 475mg</strong>
<div>PROVIDING:
Stabilized Rice Bran 350mg
Acai Berry [Euterpe Oleracea] (fresh freeze dried – ORGANIC) 50mg
Sea Buckthorn Berry [Hippophae Rhamnoides] (fresh freeze dried) 50mg
Artichoke Leaf [Cynara Scolymus] (fresh freeze dried) 25mg
<div>CoQ10 (coenzyme Q10 – as ubiquinone) 30mg
Larch Tree Arabinogalactan [Larix Laricina] 5.5mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
</div>
</div>
</div>
</div>"
1992,"Terranova <br/> Digestive Enzyme Complex","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">

<strong>MAGNIFOOD COMPLEX 450mg</strong>
<div>PROVIDING:
Fennel Seed [Foeniculum vulgare] (ORGANIC) 100mg
Green <strong>Barley</strong> Grass [Hordeum vulgare] (fresh freeze dried – ORGANIC) 100mg
Stabilized Rice Bran 100mg
Ginger Rhizome/Root [Zingiber officinale] (fresh freeze dried – ORGANIC) 50mg
Artichoke Leaf [Cynara scolymus] (fresh freeze dried) 50mg
Cardamom Pod [Elettaria cardamomum] (ORGANIC) 25mg
Gentian Root [Gentiana lutea] 25mg
<div>

Protease (A. oryzae) 14,690 HUT 27.6mg
Amylase (A. oryzae) 2,545 DU 16.9mg
Lactase (A. oryzae) 727 ALU 7.3mg
Glucoamylase (A. niger) 6.5 AGU 7.3mg
Alpha Galactosidase (A. niger) 109 GalU 7.3mg
Protease (A. niger) 36 SAPU 6.8mg
Invertase (S. cervisiae) 291 SU 3.3mg
Lipase (C. rugosa) 349 FIP 1.9mg
Glucoamylase (R. oryzae) 0.72 AGU 1.1mg
Lipase (A. niger) 7.27 FIP 0.15mg
Lipase (R. oryzae) 7.27 FIP 0.15mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>

NO WHEAT – NO SOY – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<div><strong>Contains barley grass – consult physician if coeliac.</strong></div>
</div>
</div>
</div>
</div>
</div>"
1994,"Terranova <br/> Omega 3-6-7-9 Oil Blend 250ml (Organic)","ONE 5ml TEASPOON TYPICALLY PROVIDES:
<div class=""two-columns"">

<strong>MAGNIFOOD OIL BLEND</strong>
<div>PROVIDING:
Organic Flaxseed Oil 65.994%
<ul>
 	<li>Omega 3 – 58% Omega 6 – 14% Omega 9 – 19%</li>
</ul>
Organic Hemp Seed Oil 20%
<ul>
 	<li>Omega 3 – 20% Omega 6 – 60% Omega 9 – 12%</li>
</ul>
Organic Olive Oil 8%
<ul>
 	<li>Omega 3 – 1% Omega 6 – 8% Omega 9 – 75%</li>
</ul>
Organic Borage Seed Oil 3%
<ul>
 	<li>Omega 3 – 0% Omega 6 – 80% Omega 9 – 20%</li>
</ul>
Organic Sea Buckthorn Fruit Oil 2%
<ul>
 	<li>Omega 3 – 3% Omega 6 – 6% Omega 7 – 35% Omega 9 – 22%</li>
</ul>
Organic Rice Bran Oil 1%
<ul>
 	<li>Omega 3 – 1% Omega 6 – 39% Omega 9 – 42%</li>
</ul>
<div>

Tocopherol (vitamin E) 0.006%
<div>INGREDIENTS:
Flax*, Hemp*, Olive*, Borage*, Sea Buckthorn Fruit*, Rice Bran*, Tocopherol (antioxidant).
*Oils produced from organic agriculture.
Organic Certification UK/non-UK agriculture - GB-ORG-05-  EU/non-EU agriculture
<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS</div>
</div>
</div>
</div>
</div>
</div>
<div class=""yt_video""></div>"
1996,"Terranova <br/> Life Drink","ONE SCOOP (approximately 12g) TYPICALLY PROVIDES:
<div class=""two-columns"">

<strong>LIFE DRINK COMPLEX 12g</strong>
<div><strong>BALANCED VEGETABLE PROTEIN BLEND 6.25g</strong></div>
(providing 5g protein)
Pea Protein (protein value 2.5g) 3.125g
Rice Protein (protein value 2.5g) 3.125g
<div><strong>RICE BRAN ACTIVES 4.25g</strong></div>
Stabilized Rice Bran Solubles 4.25g
<div><strong>MICROALGAE 600mg</strong></div>
Spirulina [Spirulina Platensis] fresh freeze dried - ORGANIC 500mg
Chlorella [Chlorella Pyrenoidosa] fresh freeze dried - ORGANIC - broken cell wall 100mg
<div><strong>FREEZE DRIED GREENS 300mg</strong></div>
<strong>Wheat</strong> Grass Juice [Triticum Aestivum]-fresh freeze dried-ORGANIC 50mg
Nettle Leaf [Urtica Dioica]-fresh freeze dried 50mg
Kale [Brassica Oleracea Var Acephala]-fresh freeze dried-ORGANIC 25mg
Watercress [Nasturtium Officinale]-fresh freeze dried 25mg
Dandelion Leaf [Taraxacum Officinale]-fresh freeze dried 25mg
Spinach [Spinacia Oleracea]-fresh freeze dried-ORGANIC 25mg
Parsley Leaf [Petroselinum Crispum]-fresh freeze dried-ORGANIC 25mg
Coriander Leaf [Coriandrum Sativum]-fresh freeze dried-ORGANIC 25mg
Broccoli Sprouts [Brassica Oleracea]-fresh freeze dried-ORGANIC 25mg
Beetroot [Beta Vulgaris]-fresh freeze dried-ORGANIC 25mg
<div><strong>FREEZE DRIED BERRIES 300mg</strong></div>
Aronia Berry [Aronia melanocarpa]- fresh freeze dried-ORGANIC 50mg
Sea Buckthorn Berry [Hippophae rhamnoides]-fresh freeze dried 50mg
Acai Berry [Euterpe oleracea]-fresh freeze dried-ORGANIC 25mg
Bilberry [Vaccinium myrtillus]-fresh freeze dried-ORGANIC 25mg
Blackberry [Rubus fruticosus]-fresh freeze dried-ORGANIC 25mg
Red Raspberry [Rubus idaeus]-fresh freeze dried - ORGANIC 25mg
Cranberry [Vaccinium macrocarpon]-fresh freeze dried-ORGANIC 25mg
Black Elderberry [Sambucus nigra]-fresh freeze dried 25mg
Montmorency Cherry [Prunus cerasus]-fresh freeze dried 25mg
Strawberry [Fragaria ananassa]-fresh freeze dried-ORGANIC 25mg
<div><strong>OMEGA 3,6,9 OIL BLEND 2:1:1 ratio (vegetarian) 150mg</strong></div>
Flaxseed Oil Powder (20% Omega 3 – 13.1mg) 65.4mg
Borage Oil Powder (13% Omega 6 – 6.4mg) 49.2mg
Olive Oil Powder (18% Omega 9 – 6.4mg) 35.4mg
<div><strong>FREEZE DRIED MUSHROOMS 75mg</strong></div>
Reishi Mushroom [Ganoderma lucidum]-freeze dried-ORGANIC [Full-spectrum: primordia, mycelia, fruiting body &amp; extra-cellular compounds] 50mg
Shiitake Mushroom [Lentinula edodes]-freeze dried-ORGANIC [Full-spectrum: primordia, mycelia, fruiting body &amp; extra-cellular compounds] 25mg
<div><strong>LIFE DRINK DIGESTIVE BLEND 75mg</strong></div>
<div><strong>FRIENDLY MICROFLORA 20mg</strong></div>
Lactiplantibacillus plantarum 106.3 million organisms*
Lacticaseibacillus paracasei 85.1 million organisms*
Lacticaseibacillus rhamnosus 74.5 million organisms*
Lactobacillus acidophilus/helveticus 53.2 million organisms*
Bifidobacterium lactis 53.2 million organisms*
<div><strong>PREBIOTICS 20mg</strong></div>
Larch Tree Arabinogalactan [Larix Laricina] 20mg
<div><strong>DIGESTIVE ENZYMES 20mg</strong></div>
Protease (A. oryzae) 14,690 HUT 6.90mg
Amylase (A. oryzae) 2,545 DU 4.23mg
Lactase (A. oryzae) 727 ALU 1.83mg
Glucoamylase (A. niger) 6.5 AGU 1.83mg
Alpha Galactosidase (A. niger) 109 GalU 1.83mg
Protease (A. niger) 36 SAPU 1.71mg
Invertase (S. cerevisiae) 291 SU 0.83mg
Lipase (C. rugosa) 349 FIP 0.48mg
Glucoamylase (R. oryzae) 0.72 AGU 0.28mg
Lipase (A. niger) 7.27 FIP 0.04mg
Lipase (R. oryzae) 7.27 FIP 0.04mg
<div>Ginger Rhizome/Root [Zingiber officinale]-fresh freeze dried-ORGANIC 15mg</div>
<div><strong>100% ACTIVE INGREDIENTS / NO ADDITIVES</strong></div>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO DAIRY – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
<div><strong>Contains traces of SOYA.</strong></div>
<div><strong>Contains wheatgrass – consult physician if coeliac.</strong></div>
<div>* Potency at time of manufacture.</div>
</div>
<div class=""yt_video"">https://www.youtube.com/watch?v=iPptU1RVgwQ</div>"
1998,"Terranova <br/> Calcium Magnesium Complex (2:1 Ratio)","FOUR VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 500mg</strong>
PROVIDING:
Stabilized Rice Bran 250mg
Nettle Leaf [Urtica Dioica] (fresh freeze dried) 100mg
Horsetail Spring Shoot [Equisetum Arvense] (fresh freeze dried) 50mg
Ginger Rhizome [Zingiber Officinale] (fresh freeze dried – ORGANIC) 50mg
Alfalfa Flower &amp; Leaf [Medicago Sativa] (fresh freeze dried - ORGANIC) 25mg
Pumpkin Seed [Cucurbita pepo] 25mg (ORGANIC) 

Calcium (as carbonate, citrate) 500mg
Magnesium (as oxide, citrate) 250mg
FOS (fructooligosaccharides) 50mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
</div>"
2000,"Terranova <br/>Chromium 200ug Complex","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 600mg</strong>
PROVIDING:
Stabilized Rice Bran 375mg
Pumpkin Seed [Cucurbita Pepo]-ORGANIC 100mg
Green <strong>Barley</strong> Grass [Hordeum Vulgare]-fresh freeze dried-ORGANIC 50mg
Raw Cacao Nib [Theobroma Cacao]-ORGANIC 50mg
Nettle Leaf [Urtica Dioica]-fresh freeze dried 25mg

Chromium (as picolinate) 200ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains barley grass – consult physician if coeliac.</strong></div>"
2002,"Terranova <br/> Full-Spectrum Multivitamin","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns"">

<strong>MAGNIFOOD COMPLEX 450mg</strong>
<div>PROVIDING:
Spirulina [Spirulina platensis]-fresh freeze dried-ORGANIC 200mg
Green <strong>Barley</strong> Grass-fresh freeze dried-ORGANIC 100mg
Stabilized Rice Bran 50mg
Sea Buckthorn Berry-fresh freeze dried 50mg
Blackberry Fruit-fresh freeze dried-ORGANIC 25mg
Watercress-fresh freeze dried 25mg
<div>Vitamin C (as Ca, Mg, Zn ascorbate) 150mg
Vitamin E (d-alpha tocopheryl succinate -100iu) 67mg
Calcium (as carbonate, citrate, ascorbate) 30mg
Vitamin B6 (as pyridoxine hydrochloride 6mg / pyridoxal 5-phosphate 6mg) 12mg
Pantothenic Acid (as calcium pantothenate) 25mg
Vitamin B1 (as thiamin mononitrate) 20mg
Vitamin B2 (riboflavin) 20mg
Niacin (as niacinamide) 20mg
Citrus Bioflavonoids 20mg
Magnesium (as oxide, citrate, ascorbate) 15mg
Inositol 15mg
Choline Bitartrate* (Vitacholine&#x2122;) 15mg
Zinc (as ascorbate) 10mg
Larch Tree Arabinogalactan [Larix Laricina] 5.5mg
Natural Beta Carotene/Mixed Carotenoids 4.5mg
Manganese (as bisglycinate chelate* TRAACS&#x2122;) 1.5mg
Iron (as bisglycinate Chelate* [Ferrochel&#x2122;] 1.5mg
Copper (as gluconate) 1.25mg
Boron (as sodium borate) 1mg
Vitamin A (as palmitate prep. – 2500iu) 751ug
Folate (as calcium L-methylfolate) 200ug
Iodine (as potassium iodide) 150ug
Biotin (as d-Biotin) 100ug
Chromium (as picolinate) 50ug
Vitamin B12 (as methylcobalamin) 50ug
Selenium (as selenomethionine) 50ug
Vitamin K2 as MK-7 (<strong><b><sup><span lang=""PT-BR"">‡</span></sup></b></strong>MenaQ7®) 10ug
Vitamin D3 (vegan cholecalciferol – 200iu) 5ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)</div>
<strong>* VitaCholine&#x2122;, Ferrochel&#x2122; and TRAACS&#x2122; are trademarks of </strong><strong>Balchem Corp. or Albion Labs.</strong></div>
<div><strong><b><sup><span lang=""PT-BR"">‡</span></sup></b> MenaQ7® is a registered trademark of Lesaffre et Compagnie, France.</strong></div>
<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong></div>
<div></div>
<div>

NO WHEAT – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<div>
<div><strong>Contains barley grass – consult physician if coeliac.</strong></div>
</div>
</div>
</div>"
